arquivo,titulo_estimado,status,palavras,referencias_estimadas,dois_unicos,referencias_2021_2026_estimadas,proporcao_recente_estimada,menciona_limitacoes,afirma_revisao_narrativa,menciona_revisao_sistematica,tabelas,autor_metadado,criado_metadado,observacao
artigo-13-ugt1a1-irinotecano.docx,Farmacogenômica do irinotecano: aplicabilidade do UGT1A1 na individualização da dose e prevenção de toxicidades,rascunho_nao_validado,2776,15,15,0,0.0,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-14-farmacogenetico-farmacia-oncologica.docx,O farmacêutico oncológico na implementação da farmacogenômica em protocolos antineoplásicos,rascunho_nao_validado,2699,15,13,1,0.067,False,False,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-15-eventos-adversos-imunomediados.docx,Perfil dos eventos adversos imunomediados associados aos inibidores de checkpoint imunológico,rascunho_nao_validado,2683,16,15,2,0.125,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-16-monitoramento-farmaceutico-imunoterapia.docx,Monitoramento farmacêutico como ferramenta para identificação precoce de eventos adversos imunomediados,rascunho_nao_validado,2840,15,14,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-17-corticosteroides-iae.docx,Uso de corticosteroides no tratamento de eventos adversos imunomediados: impacto sobre a continuidade e os resultados da imunoterapia,rascunho_nao_validado,2929,15,15,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-18-cardiotoxicidade-checkpoint.docx,Cardiotoxicidade associada aos inibidores de checkpoint imunológico: implicações para o farmacêutico oncológico,rascunho_nao_validado,2653,15,14,3,0.2,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-19-adesao-antineoplasicos-orais.docx,Adesão ao tratamento com antineoplásicos orais e fatores associados em pacientes ambulatoriais,rascunho_nao_validado,2982,18,0,1,0.056,True,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-20-telemonitoramento-orais.docx,Impacto do telemonitoramento farmacêutico na adesão e identificação precoce de toxicidades de antineoplásicos orais,rascunho_nao_validado,2520,17,0,2,0.118,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-21-seguranca-domiciliar-orais.docx,"Conhecimento dos pacientes sobre armazenamento, administração e descarte domiciliar de medicamentos antineoplásicos orais",rascunho_nao_validado,2304,15,0,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-22-interacoes-orais.docx,Prevalência e relevância clínica das interações medicamentosas em pacientes tratados com antineoplásicos orais,rascunho_nao_validado,2303,16,0,1,0.062,False,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-23-sindrome-mao-pe-capecitabina.docx,"Síndrome mão-pé associada à capecitabina: incidência, fatores associados e estratégias de manejo farmacêutico",rascunho_nao_validado,2952,15,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-24-contaminacao-ambiental-citotoxicos.docx,Risco de contaminação ocupacional por medicamentos citotóxicos em unidades de oncologia,rascunho_nao_validado,2951,19,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-25-conformidade-isopp.docx,Avaliação da conformidade de um serviço de farmácia oncológica com padrões internacionais de manipulação segura de medicamentos antineoplásicos,rascunho_nao_validado,2807,15,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-26-biosseguranca-manipulacao.docx,Conhecimento e adesão dos profissionais às práticas de biossegurança no manejo de medicamentos antineoplásicos,rascunho_nao_validado,2853,15,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-27-derramamento-antineoplasicos.docx,Avaliação do conhecimento e da prontidão da equipe para manejo de derramamentos de medicamentos antineoplásicos,rascunho_nao_validado,2711,15,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-28-transporte-interno.docx,Avaliação dos riscos e práticas de segurança no transporte interno de medicamentos antineoplásicos manipulados,rascunho_nao_validado,2791,15,0,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-29-exposicao-ocupacional.docx,Percepção de risco e práticas de prevenção da exposição ocupacional a agentes antineoplásicos entre profissionais de saúde,rascunho_nao_validado,3011,22,0,0,0.0,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-30-pegada-ambiental-farmacia-oncologica.docx,Impacto ambiental da manipulação de medicamentos antineoplásicos: oportunidades para uma farmácia oncológica sustentável,rascunho_nao_validado,3548,22,16,10,0.455,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-31-residuos-citotoxicos.docx,Caracterização da geração de resíduos citotóxicos em um centro de oncologia e estratégias para sua redução,rascunho_nao_validado,2953,16,11,5,0.312,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-32-desperdicio-materiais.docx,Quantificação e impacto econômico-ambiental dos materiais descartáveis utilizados na manipulação de antineoplásicos,rascunho_nao_validado,2746,14,10,5,0.357,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-33-contaminantes-ambientais-emergentes.docx,Medicamentos citotóxicos como contaminantes ambientais emergentes: riscos e estratégias de gerenciamento,rascunho_nao_validado,2867,18,15,5,0.278,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-34-ia-validacao-prescricoes.docx,Aplicabilidade da inteligência artificial como ferramenta de apoio à validação farmacêutica de prescrições antineoplásicas,rascunho_nao_validado,2747,18,16,10,0.556,True,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-35-ia-erros-dose.docx,Desenvolvimento de algoritmo para identificação automatizada de potenciais erros de dose em prescrições de quimioterapia,rascunho_nao_validado,2823,19,18,2,0.105,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-36-ia-farmacovigilancia.docx,Uso de inteligência artificial para identificação de eventos adversos relacionados a medicamentos antineoplásicos,rascunho_nao_validado,2592,16,13,7,0.438,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-37-sistema-calculo-dose.docx,Desenvolvimento e validação de sistema eletrônico para cálculo e ajuste de doses de antineoplásicos,rascunho_nao_validado,2756,20,17,2,0.1,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-38-calculadora-capecitabina.docx,Desenvolvimento e validação de uma calculadora clínica para individualização da dose de capecitabina baseada em superfície corporal e função renal,rascunho_nao_validado,2839,19,16,2,0.105,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-39-ia-previsao-estoque.docx,Aplicação de modelos preditivos na previsão de consumo e prevenção de rupturas de estoque de medicamentos antineoplásicos,rascunho_nao_validado,2428,11,5,3,0.273,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-40-automatizacao-conferencia-estoque.docx,Desenvolvimento de um sistema automatizado de conciliação de movimentações de estoque de medicamentos oncológicos,rascunho_nao_validado,2379,8,2,0,0.0,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-41-analise-farmacoeconomica-protocolos.docx,Análise farmacoeconômica dos principais protocolos antineoplásicos utilizados em um centro de oncologia,rascunho_nao_validado,3110,18,10,4,0.222,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-42-imunoterapia-impacto-orcamentario.docx,Impacto orçamentário da incorporação de imunoterapias no tratamento do câncer em um serviço privado de oncologia,rascunho_nao_validado,2987,16,10,3,0.188,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-43-biossimilares-impacto-economico.docx,Impacto econômico da utilização de biossimilares de medicamentos oncológicos em um centro de oncologia,rascunho_nao_validado,2951,16,5,1,0.062,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-44-apresentacoes-comerciais-custo.docx,Influência das apresentações comerciais dos antineoplásicos sobre desperdício e custo do tratamento,rascunho_nao_validado,2973,15,6,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-45-cancelamentos-perdas.docx,Impacto dos cancelamentos e adiamentos de quimioterapia sobre desperdício de medicamentos e custos do serviço,rascunho_nao_validado,2932,15,7,4,0.267,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-46-curva-abc-antineoplasicos.docx,Aplicação da Curva ABC na gestão de medicamentos antineoplásicos e identificação dos principais determinantes do custo farmacêutico,rascunho_nao_validado,2968,15,5,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-47-estoque-parado-baixo-giro.docx,Medicamentos antineoplásicos de baixo giro: impacto financeiro e estratégias de gerenciamento,rascunho_nao_validado,2923,15,6,2,0.133,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-48-perdas-vencimento.docx,Impacto econômico das perdas por vencimento de medicamentos oncológicos e estratégias preventivas,rascunho_nao_validado,3102,16,6,3,0.188,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-49-gestao-compartilhada-estoque.docx,Impacto da gestão compartilhada de estoque entre unidades de oncologia na redução de perdas e rupturas de medicamentos antineoplásicos,rascunho_nao_validado,2944,15,4,3,0.2,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-50-indicadores-desempenho-farmacia-oncologica.docx,Desenvolvimento de indicadores de desempenho para avaliação da qualidade de um serviço de farmácia oncológica,rascunho_nao_validado,2849,16,1,2,0.125,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-51-toxicidade-folfox.docx,Perfil de toxicidade do protocolo FOLFOX em pacientes com câncer colorretal na prática clínica,rascunho_nao_validado,3225,16,15,1,0.062,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-52-neuropatia-oxaliplatina.docx,Incidência e fatores associados à neuropatia periférica induzida por oxaliplatina,rascunho_nao_validado,3066,14,14,0,0.0,False,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-53-toxicidade-gastrointestinal-irinotecano.docx,Incidência e manejo da toxicidade gastrointestinal relacionada ao irinotecano em pacientes oncológicos,rascunho_nao_validado,3013,15,15,1,0.067,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-54-reacoes-infusionais-anticorpos.docx,Incidência e características das reações relacionadas à infusão de anticorpos monoclonais em pacientes oncológicos,rascunho_nao_validado,2894,14,13,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-55-hipersensibilidade-paclitaxel.docx,Perfil das reações de hipersensibilidade ao paclitaxel e avaliação das estratégias de prevenção,rascunho_nao_validado,2606,9,8,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-56-funcao-renal-ajuste-dose.docx,Impacto da função renal na adequação das doses de medicamentos antineoplásicos em pacientes oncológicos,rascunho_nao_validado,2786,13,12,1,0.077,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-57-pacientes-idosos-prm.docx,Problemas relacionados a medicamentos em idosos submetidos à terapia antineoplásica,rascunho_nao_validado,2800,14,13,0,0.0,False,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-58-polifarmarcia-interacoes-cancer.docx,Polifarmácia e interações medicamentosas clinicamente relevantes em pacientes com câncer,rascunho_nao_validado,2678,9,9,0,0.0,True,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-59-conciliacao-medicamentosa.docx,Impacto da conciliação medicamentosa realizada pelo farmacêutico em pacientes oncológicos,rascunho_nao_validado,2672,9,7,0,0.0,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-60-farmacovigilancia-notificacoes.docx,Perfil das reações adversas a medicamentos antineoplásicos notificadas em um serviço de oncologia,rascunho_nao_validado,2640,10,7,0,0.0,False,True,True,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-61-complicacoes-acesso-venoso.docx,Complicações associadas aos dispositivos de acesso venoso utilizados na administração de terapia antineoplásica,rascunho_nao_validado,2814,10,10,1,0.1,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-62-extravasamento-antineoplasicos.docx,Extravasamento de agentes antineoplásicos: perfil dos eventos e análise dos protocolos institucionais de manejo,rascunho_nao_validado,2534,8,7,1,0.125,True,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
artigo-63-infusao-inadvertida-cateter.docx,Infusão inadvertida de antineoplásicos decorrente de deslocamento de cateter: revisão das manifestações clínicas e estratégias de manejo,rascunho_nao_validado,2670,9,9,2,0.222,False,True,False,0,python-docx,2013-12-23T23:15:00+00:00,Triagem automática; exige leitura integral e revisão humana.
